,Dominant_Topic,Topic_Keywords,Num_Sentences,Perc_Sentences
116.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
117.0,4.0,"security, add, change, patch, code, improve, number, type, performance, validate",,
118.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
119.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
120.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
121.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
122.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
123.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
124.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
125.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
126.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
127.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
128.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
129.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
130.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
131.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
132.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
133.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
134.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
135.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
136.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
137.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
138.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
139.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
140.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
141.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
142.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
143.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
144.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
145.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
146.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
147.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
148.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
149.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
150.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
151.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
152.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
153.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
154.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
155.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
156.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
157.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
158.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
159.0,1.0,"change, user, update, patch, fix, issue, close, project, commit, bug",,
160.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
161.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
162.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
163.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
164.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
165.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
166.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
167.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
168.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
169.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
170.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
171.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
172.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
173.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
174.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
175.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
176.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
177.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
178.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
179.0,4.0,"security, add, change, patch, code, improve, number, type, performance, validate",,
180.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
181.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
182.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
183.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
184.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
185.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
186.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
187.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
188.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
189.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
190.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
191.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
192.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
193.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
194.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
195.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
196.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
197.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
198.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
199.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
200.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
201.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
202.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
203.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
204.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
205.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
206.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
207.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
208.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
209.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
210.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
211.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
212.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
213.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
214.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
215.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
216.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
217.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
218.0,4.0,"security, add, change, patch, code, improve, number, type, performance, validate",,
219.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
220.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
221.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
222.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
223.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
224.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
225.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
226.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
227.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
228.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
229.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
230.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
231.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
232.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
233.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
234.0,4.0,"security, add, change, patch, code, improve, number, type, performance, validate",,
235.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
236.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
237.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
238.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
239.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
240.0,4.0,"security, add, change, patch, code, improve, number, type, performance, validate",,
241.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
242.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
243.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
244.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
245.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
246.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
247.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
248.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
249.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
250.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
251.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
252.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
253.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
254.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
255.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
256.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
257.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
258.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
259.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
260.0,4.0,"security, add, change, patch, code, improve, number, type, performance, validate",,
261.0,4.0,"security, add, change, patch, code, improve, number, type, performance, validate",,
262.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
263.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
264.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
265.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
266.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
267.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
268.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
269.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
270.0,4.0,"security, add, change, patch, code, improve, number, type, performance, validate",,
271.0,4.0,"security, add, change, patch, code, improve, number, type, performance, validate",,
272.0,4.0,"security, add, change, patch, code, improve, number, type, performance, validate",,
273.0,4.0,"security, add, change, patch, code, improve, number, type, performance, validate",,
274.0,1.0,"change, user, update, patch, fix, issue, close, project, commit, bug",,
275.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
276.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
277.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
278.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
279.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
280.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
281.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
282.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
283.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
284.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
285.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
286.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
287.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
288.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
289.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
290.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
291.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
292.0,1.0,"change, user, update, patch, fix, issue, close, project, commit, bug",,
293.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
294.0,4.0,"security, add, change, patch, code, improve, number, type, performance, validate",,
295.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
296.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
297.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
298.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
299.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
300.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
301.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
302.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
303.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
304.0,1.0,"change, user, update, patch, fix, issue, close, project, commit, bug",,
305.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
306.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
307.0,4.0,"security, add, change, patch, code, improve, number, type, performance, validate",,
308.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
309.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
310.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
311.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
312.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
313.0,4.0,"security, add, change, patch, code, improve, number, type, performance, validate",,
314.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
315.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
316.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
317.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
318.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
319.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
320.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
321.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
322.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
323.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
324.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
325.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
326.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
327.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
328.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
329.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
330.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
331.0,4.0,"security, add, change, patch, code, improve, number, type, performance, validate",,
332.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
333.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
334.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
335.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
336.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
337.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
338.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
339.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
340.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
341.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
342.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
343.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
344.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
345.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
346.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
347.0,4.0,"security, add, change, patch, code, improve, number, type, performance, validate",,
348.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
349.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
350.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
351.0,1.0,"change, user, update, patch, fix, issue, close, project, commit, bug",,
352.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
353.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
354.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
355.0,1.0,"change, user, update, patch, fix, issue, close, project, commit, bug",,
356.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
357.0,1.0,"change, user, update, patch, fix, issue, close, project, commit, bug",,
358.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
359.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
360.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
361.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
362.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
363.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
364.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
365.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
366.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
367.0,1.0,"change, user, update, patch, fix, issue, close, project, commit, bug",,
368.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
369.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
370.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
371.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
372.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
373.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
374.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
375.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
376.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
377.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
378.0,10.0,"change, security, remove, delete, option, work, version, filter, replace, attribute",,
379.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
380.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
381.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
382.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
383.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
